id,from_subject,owner,disposition,needs_review,hard_stop,confidence,matched_rule,reasoning,overrides_applied
1,Priya Raman — Board deck for Sept 22 - can I see the numbers by Thursday?,SAM,SAM_PERSONAL,False,False,high,"Investors, the board, and fundraising","Priya Raman is Harborline Ventures' lead investor and board member, emailing about board deck numbers ahead of the Sept 22 board meeting and raising the Series A conversation. This falls squarely under 'Investors, the board, and fundraising' in the ALWAYS SAM, NEVER YOU list, so the BA should not draft a reply.",
2,Dana Lindqvist — Re: Multi-year renewal - pricing,SAM,SAM_PERSONAL,False,False,high,"Pricing, discounts, and anything that changes a contract","Email negotiates a 20% discount and a change to payment terms (arrears vs upfront) on a multi-year renewal contract, which falls squarely in the 'Always Sam, never you' bucket for pricing/discounts and anything that changes a contract. Sender is the VIP largest customer (Brightfield Foods, $84k ARR), and the message states an explicit deadline for a response.",
3,Dana Lindqvist — Re: Multi-year renewal - pricing,SAM,SAM_PERSONAL,False,False,high,"Pricing, discounts, and anything that changes a contract","Dana is asking Sam directly for a decision on a 20% discount/pricing point for a multi-year renewal, which falls under pricing and contract terms — an area the brief reserves exclusively for the founder, never the BA.",
4,Marcus Oyelaran — Winding down our account,SAM,SAM_PERSONAL,True,False,low,NO_MATCHING_RULE,"Northwater Dairy has already decided not to renew in November; this is a churn notification, not a pricing/discount negotiation, so 'Pricing, discounts, and anything that changes a contract' does not cleanly apply. The brief has no explicit bucket for customer churn or non-renewal notices. Given the $31k ARR at stake and the judgment call on whether to attempt a save, this still belongs with Sam, but by the brief's ambiguity default rather than a clean rule match.","MANUAL CORRECTION (Founder-brief audit: 'Pricing, discounts, and anything that changes a contract' is a stretch for a churn/non-renewal notice; the brief has no explicit rule for this, and the classification should say so rather than cite an imprecise match.) [matched_rule: 'Pricing, discounts, and anything that changes a contract' -> 'NO_MATCHING_RULE', confidence: 'medium' -> 'low', needs_review: False -> True, reasoning: ""This is a $31k ARR customer notifying non-renewal, effectively ending the contract. The brief puts anything that changes a contract in the founder's own hands, and a churn decision of this size is a business-critical matter Sam would want to personally respond to, not something for the BA to draft or handle."" -> ""Northwater Dairy has already decided not to renew in November; this is a churn notification, not a pricing/discount negotiation, so 'Pricing, discounts, and anything that changes a contract' does not cleanly apply. The brief has no explicit bucket for customer churn or non-renewal notices. Given the $31k ARR at stake and the judgment call on whether to attempt a save, this still belongs with Sam, but by the brief's ambiguity default rather than a clean rule match.""]"
5,Eli Cardoso — Sprint 34 update + one risk,SAM,SAM_PERSONAL,True,False,low,NO_MATCHING_RULE,"This is an internal engineering sprint status update from the Head of Engineering to the team, cc'ing Sam, explicitly stating nothing is needed from anyone outside the team. The brief has no bucket for internal engineering status reports; it's not clearly a 'security or data incident' (just a performance/timeout risk still being investigated), so it doesn't clearly fall under any BA or Sam-only rule. Defaulting to Sam per the brief's instruction to default to the founder when the brief is silent or ambiguous. No reply is needed since the sender said so and it's an FYI.",
6,Olive Mbeki — Payroll approval needed by Tue 5 PM ET,SAM,SAM_PERSONAL,False,False,high,Hiring offers and compensation,"This is a payroll approval that includes a contractor rate change and adding a new hire as pending, both of which fall under compensation matters the brief reserves exclusively for Sam. The BA should not draft a reply or take action on this; it needs to go directly to Sam given the Tuesday 5 PM deadline.",
7,Northbridge Bank Security — Action required: verify your wire recipients within 24 hours,SAM,SAM_PERSONAL,True,True,high,Anything that looks like a security or data incident,"This email claims to be from a bank security team but comes from a suspicious lookalike domain (northbrid-ge-alerts.com, not a legitimate bank domain) urging verification of wire recipients within 24 hours - a classic phishing pattern targeting banking/payment details. The brief places anything resembling a security or data incident strictly with the founder, never the BA. No reply should be sent (it is likely fraudulent and the brief also excludes changing bank/payment details from BA action).",
8,Verdano Payables — Updated bank details for invoice 2214,SAM,SAM_PERSONAL,True,True,high,Anything that looks like a security or data incident,"An unsolicited request to change bank details for an invoice payment, from a billing-domain sender that doesn't match the vendor's usual domain pattern, is a classic BEC/payment-fraud pattern. The brief puts security/data incidents and paying invoices or changing bank details squarely in the founder's own hands (never-without-asking / always-Sam territory), so the BA should not draft or act on this at all - it goes straight to Sam.","hard-rule guardrail: request to change payment/bank details detected; forced to Sam, no BA draft generated"
9,Bianca Ferraro — Brightfield MSA redlines - two open points,SAM,SAM_PERSONAL,False,False,high,Legal terms and signatures,"Outside counsel is flagging MSA redlines requiring a decision on an uncapped liability clause (legal term) and a 12-month exclusivity clause (a contract-changing commercial term) — both fall squarely under 'Legal terms and signatures' and 'Pricing, discounts, and anything that changes a contract' in the ALWAYS SAM, NEVER YOU bucket, so this goes to the founder directly rather than being drafted by the BA.",
10,"Ruby Tavares — Recording invite: 45 minutes, week of Sept 21",SAM,SAM_PERSONAL,False,False,high,Press and public statements,"This is an inbound podcast recording invitation, which falls under 'Press and public statements' in the ALWAYS SAM, NEVER YOU list, and is separately reinforced by the NEVER WITHOUT ASKING item 'Confirm a speaking slot, a podcast, or a press quote.' The BA should not draft or handle this; it goes to Sam directly.",
